point_id,point_name,grid_id,lon,lat,source,label,label_source,complaint_count_250m,complaint_count_500m,oil_smoke_ratio,road_occupation_ratio,night_complaint_ratio,weekend_complaint_ratio,holiday_complaint_ratio,bad_weather_ratio,poi_score_raw,flow_proxy_score,poi_score,complaint_risk,activity_proxy,date,hour_bucket,risk_level,label_notes,labeled_by,labeled_at
osm-node-5306464716,江浦公园,YANGPU_14_7,121.5193261,31.2665507,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.47878787878787876,0.47878787878787876,0.0,0.47878787878787876,2026-03-19,-1,low,,,
osm-node-9381170073,江浦公园,YANGPU_14_7,121.5191022,31.2672443,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.4303030303030303,0.4303030303030303,0.0,0.4303030303030303,2026-03-19,-1,low,,,
osm-node-5306355605,江浦路,YANGPU_13_11,121.5141937,31.2769932,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.5757575757575758,0.5757575757575758,0.0,0.5757575757575758,2026-03-19,-1,low,,,
osm-node-9381173343,江浦路,YANGPU_13_11,121.5145022,31.2760613,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2026-03-19,-1,low,,,
osm-node-5306444972,江湾体育场,YANGPU_11_24,121.5099408,31.3050228,transit,,,1,1,0.0,0.0,0.0,1.0,0.0,1.0,62.0,0.7454545454545455,0.7454545454545455,0.1325178389398573,0.7454545454545455,2026-03-19,-1,low,,,
osm-way-1383725146,江湾镇,YANGPU_0_26,121.4824874,31.309936,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.4303030303030303,0.4303030303030303,0.0,0.4303030303030303,2026-03-19,-1,low,,,
osm-relation-6817259,江湾镇,YANGPU_0_25,121.4807761,31.307482,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.503030303030303,0.503030303030303,0.0,0.503030303030303,2026-03-19,-1,low,,,
osm-node-5306464719,爱国路,YANGPU_25_14,121.5482806,31.2819802,transit,,,1,2,0.0,0.5,0.0,0.0,0.0,0.0,21.0,0.24848484848484848,0.24848484848484848,0.30479102956167176,0.24848484848484848,2026-03-19,-1,low,,,
osm-node-5306355609,翔殷路,YANGPU_18_25,121.5275779,31.3071133,transit,,,0,4,0.0,0.0,0.0,0.0,0.0,0.25,27.0,0.3212121212121212,0.3212121212121212,0.15902140672782875,0.3212121212121212,2026-03-19,-1,low,,,
osm-node-5306464718,隆昌路,YANGPU_23_12,121.5407047,31.2776265,transit,,,0,2,0.0,0.5,0.0,0.0,0.0,0.0,50.0,0.6,0.6,0.2120285423037717,0.6,2026-03-19,-1,low,,,
osm-node-5306355604,鞍山新村,YANGPU_9_11,121.5051698,31.2752636,transit,,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,51.0,0.6121212121212121,0.6121212121212121,0.5300713557594292,0.6121212121212121,2026-03-19,-1,medium,,,
osm-way-1350827626,鞍山新村,YANGPU_9_11,121.5051164,31.2752925,transit,,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,51.0,0.6121212121212121,0.6121212121212121,0.5300713557594292,0.6121212121212121,2026-03-19,-1,medium,,,
osm-node-5306355608,黄兴公园,YANGPU_18_21,121.5288185,31.2978586,transit,,,0,1,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.2606060606060606,0.2606060606060606,0.30479102956167176,0.2606060606060606,2026-03-19,-1,low,,,
osm-node-5306355606,黄兴路,YANGPU_16_13,121.5240955,31.2809549,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.44242424242424244,0.44242424242424244,0.0,0.44242424242424244,2026-03-19,-1,low,,,
osm-relation-12990323,上海体育大学,YANGPU_15_28,121.5203812,31.3142026,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.4666666666666667,0.4666666666666667,0.0,0.4666666666666667,2026-03-19,-1,low,,,
osm-way-1282344693,上海市杨浦区业余大学,YANGPU_11_9,121.5096568,31.2720734,university,,,1,2,0.0,0.0,0.0,0.5,0.0,0.5,0.7,0.002424242424242424,0.002424242424242424,0.17227319062181445,0.002424242424242424,2026-03-19,-1,low,,,
osm-way-176978404,上海开放大学,YANGPU_11_19,121.5096384,31.2944659,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.5515151515151515,0.5515151515151515,0.0,0.5515151515151515,2026-03-19,-1,low,,,
osm-relation-2410944,上海海洋大学 (军工路校区),YANGPU_28_16,121.5536698,31.2877892,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
